fir_code,icao_prefix,country,fir_name
LHCC,LH,Hungary,BUDAPEST
OEJD,OE,Saudi Arabia,JEDDAH
OMAE,OM,United Arab Emirates,EMIRATES
UBBA,UB,Azerbaijan,BAKU
UHHH,UH,Russia (Far East),KHABAROVSK
USSV,US,Russia (Urals),YEKATERINBURG
UTAA,UT,Turkmenistan/Tajikistan,ASHGABAT-FIR
VDPF,VD,Cambodia,PHNOM PENH
ZHWH,ZH,China (Wuhan),WUHAN
SLLF,SL,Bolivia,LA PAZ
KZLC,KZ,United States,SALT LAKE CITY
KZSE,KZ,United States,SEATTLE
SACF,SA,Argentina,CORDOBA
SARR,SA,Argentina,RESISTENCIA
OIIX,OI,Iran,TEHRAN
OPKR,OP,Pakistan,KARACHI
OPLR,OP,Pakistan,LAHORE
NZZC,NZ,New Zealand,NEW ZEALAND
NZZO,NZ,New Zealand,AUCKLAND OCEANIC
EPWW,EP,Poland,WARSZAWA
UKLV,UK,Ukraine,L'VIV FIR
EBUR,EB,Belgium,BRUSSELS-UIR
EDGG,ED,Germany,LANGEN FIR
EDMM,ED,Germany,MUNCHEN-FIR
EDUU,ED,Germany,RHEIN-UIR
EDVV,ED,Germany,HANNOVER-UIR
EDWW,ED,Germany,BREMEN-FIR
EHAA,EH,Netherlands,AMSTERDAM
OAKX,OA,Afghanistan,KABUL
UAII,UA,Kazakhstan,SHYMKENT
UATT,UA,Kazakhstan,AKTOBE
UTAT,UT,Turkmenistan/Tajikistan,DASHOGUZ-FIR
UTAV,UT,Turkmenistan/Tajikistan,TURKMENABAT-FIR
UTDD,UT,Turkmenistan/Tajikistan,DUSHANBE
UCFM,UC,Kyrgyzstan,BISHKEK
UCFO,UC,Kyrgyzstan,OSH
ZWUQ,ZW,China (Urumqi),URUMQI
VOMF,VO,India (South),CHENNAI
UZSD,UZ,Uzbekistan,SAMARKAND
UZTR,UZ,Uzbekistan,TASHKENT
VABF,VA,India (West),MUMBAI
VECF,VE,India (East),KOLKATA
VIDF,VI,India (North),DELHI
UHMMF,UH,Russia (Far East),MAGADAN-FIR
